cve_id,degree_cent,betweenness,closeness,eigenvector,pagerank,cvss_score,severity
CVE-2021-39251,0.30023801428085684,0.0005301318038456776,0.5746385306760453,0.04396265834627186,0.0006423848685690866,7.8,HIGH
CVE-2021-33200,0.28255695341720505,0.0034011212376134164,0.5563753310631858,0.03459602192217504,0.0006412993066208847,7.8,HIGH
CVE-2021-37136,0.18157089425365522,0.004588799588692422,0.520438860378694,0.027055992422122015,0.0006408699026608393,7.5,HIGH
CVE-2021-26691,0.2947976878612717,0.0005943126749100755,0.5743018941612966,0.0432730314744989,0.0006405952245013865,9.8,CRITICAL
CVE-2021-20277,0.28459707582454946,0.0009675308536499162,0.5691890845751887,0.04332859143342168,0.0006390454530318728,7.5,HIGH
CVE-2021-28952,0.28153689221353284,0.003358678465051407,0.5560597466439781,0.0346213028892236,0.0006365421353296479,7.8,HIGH
CVE-2021-28375,0.28153689221353284,0.003358678465051407,0.5560597466439781,0.03462130288922358,0.0006365421353296479,7.8,HIGH
CVE-2021-25217,0.24345460727643659,0.0025107940219374347,0.5519894894894894,0.037788814060033864,0.0006363011943501766,7.4,HIGH
CVE-2021-3115,0.31995919755185315,0.011827225996018008,0.5264005727581886,0.026272066860008974,0.0006361313930402816,7.5,HIGH
CVE-2021-3927,0.29955797347840873,0.0003481097950548576,0.5758762482866654,0.044466949760198854,0.0006325824736078904,7.8,HIGH
CVE-2021-3928,0.29955797347840873,0.0003481097950548576,0.5758762482866654,0.04446694976019886,0.0006325824736078904,7.8,HIGH
CVE-2021-35063,0.28799727983679024,0.0007009700310063505,0.5720676911106789,0.043118275514674495,0.0006319870913579376,7.5,HIGH
CVE-2021-43267,0.27847670860251617,0.003072315366331839,0.5565859197577593,0.033397168645222165,0.0006309107544248938,9.8,CRITICAL
CVE-2021-35269,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.043793429949428385,0.0006281627205843052,7.8,HIGH
CVE-2021-33287,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.04379342994942839,0.000628162720584305,7.8,HIGH
CVE-2021-35267,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.04379342994942838,0.000628162720584305,7.8,HIGH
CVE-2021-35266,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.04379342994942838,0.000628162720584305,7.8,HIGH
CVE-2021-39252,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.04379342994942837,0.000628162720584305,7.8,HIGH
CVE-2021-33289,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.04379342994942839,0.000628162720584305,7.8,HIGH
CVE-2021-39253,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.043793429949428364,0.000628162720584305,7.8,HIGH
CVE-2021-35268,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.04379342994942837,0.000628162720584305,7.8,HIGH
CVE-2021-39254,0.2968378102686161,0.00035305958265908566,0.5730709275136399,0.04379342994942838,0.000628162720584305,7.8,HIGH
CVE-2021-4136,0.26589595375722547,0.003906186307563756,0.5527156549520766,0.03196293126504651,0.0006267040567968328,7.8,HIGH
CVE-2021-3144,0.29139748384903097,0.0004527748391188455,0.571622934888241,0.04387613727265723,0.0006243125019845318,9.1,CRITICAL
CVE-2021-25282,0.29139748384903097,0.0004527748391188455,0.571622934888241,0.04387613727265725,0.0006243125019845318,9.1,CRITICAL
CVE-2021-3148,0.29139748384903097,0.0004527748391188455,0.571622934888241,0.04387613727265723,0.0006243125019845318,9.8,CRITICAL
CVE-2021-3197,0.29139748384903097,0.0004527748391188455,0.571622934888241,0.04387613727265723,0.0006243125019845318,9.8,CRITICAL
CVE-2021-25281,0.29139748384903097,0.0004527748391188455,0.571622934888241,0.04387613727265722,0.0006243125019845318,9.8,CRITICAL
CVE-2021-25283,0.29139748384903097,0.0004527748391188455,0.571622934888241,0.043876137272657226,0.0006243125019845317,9.8,CRITICAL
CVE-2021-21898,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.04362626735741542,0.0006240794965690102,8.8,HIGH
CVE-2021-39922,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.04362626735741542,0.0006240794965690102,7.5,HIGH
CVE-2021-39929,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.043626267357415406,0.0006240794965690102,7.5,HIGH
CVE-2021-44143,0.29411764705882354,0.00032503352688304047,0.5743018941612966,0.04362626735741542,0.0006240794965690102,9.8,CRITICAL
